Source (Pangasinan),Source (Cleaned),Pivot (Bikolano),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
"Manisia ak ed Jesukriston Anak Ton bogtong, a Katawan tayo.",manisia ak ed jesukriston anak ton bogtong a katawan tayo,nagtutubod ako ki jesucristo an bugtong niyang aki na satong kagurangnan,akoy sumasampalataya sa kanyang bugtong na anak na si jesucristo na ating panginoon,"Sumasampalataya naman ako kay Hesukristo, iisang Anak ng Diyos, Panginoon nating lahat.",sumasampalataya naman ako kay hesukristo iisang anak ng diyos panginoon nating lahat,4.065425428798724
Tinmoo ed gaway Ispiritu Santo tan inyanak nen Birhen Maria.,tinmoo ed gaway ispiritu santo tan inyanak nen birhen maria,nagtubod siya sa espiritu santo asin namundag siya sa birhen na si maria,siyay sumampalataya sa espiritu santo at ipinanganak siya ng birhen na si maria,Nagkatawang-tao Siya lalang ng Espiritu Santo; ipinanganak ni Santa Mariang Birhen.,nagkatawangtao siya lalang ng espiritu santo ipinanganak ni santa mariang birhen,8.130850857597448
"Inpapairap nen Poncio Pilato, inpasak ed Krus, inatey tan inkotkot.",inpapairap nen poncio pilato inpasak ed krus inatey tan inkotkot,pinasakitan siya ni poncio pilato ipinako siya sa krus nagadan asin ilinubong,siyay pinagmalupitan ni poncio pilato at siyay ipinako sa krus at siyay namatay at inilibing,"Pinagpakasakit ni Ponsio Pilato; ipinako sa krus, namatay at ibinaon.",pinagpakasakit ni ponsio pilato ipinako sa krus namatay at ibinaon,13.380161378318954
Inmakseb ed saray inaatey; diad komatlon agew inmolin binmilay.,inmakseb ed saray inaatey diad komatlon agew inmolin binmilay,binuhay siya liwat sa mga gadan sa ikatolong aldaw nabuhay siya liwat,at siyay muling binuhay sa mga patay nang ikatlong araw,Nanaog sa mga impiyerno; nang may ikatlong araw nabuhay na mag-uli.,nanaog sa mga impiyerno nang may ikatlong araw nabuhay na maguli,11.355085821332205
Tinmokotok ed tawen tan manyorong ed kawanay Ama.,tinmokotok ed tawen tan manyorong ed kawanay ama,nagitaas siya sa langit asin nagtukaw sa too kan saiyang ama,siyay umakyat sa langit at umupo sa kanan ng ama,Umakyat sa langit; naluluklok sa kanan ng Diyos Amang makapangyayari sa lahat.,umakyat sa langit naluluklok sa kanan ng diyos amang makapangyayari sa lahat,21.507319161298927
Onla dia lamet a mangokom ed saray mabilay tan inatey.,onla dia lamet a mangokom ed saray mabilay tan inatey,maabot giraray siya tanganing hukoman an mga buhay asin an mga gadan,at siyay darating upang hatulan ang mga buháy at ang mga patay,Doon magmumula’t pariritong huhukom sa nangabubuhay at nangamatay na tao.,doon magmumulat pariritong huhukom sa nangabubuhay at nangamatay na tao,3.3864985683445354
"Manisia ak ed Ispiritu Santo. Sisiaen ko met so Santa Iglesia Katolika, say pannanabangan day sasantos, say panamaandiy kasalanan, say kiolid bilay na laman, tan say bilay ya ag naandi. Amen.",manisia ak ed ispiritu santo sisiaen ko met so santa iglesia katolika say pannanabangan day sasantos say panamaandiy kasalanan say kiolid bilay na laman tan say bilay ya ag naandi amen,minatubod ako sa espiritu santo minatubod man ako sa banal na simbahan katolisyang simbahan sa pagtabang sa mga banal sa pagpatawad sa kasalan sa pagkabuhayliwat nin hawak asin sa buhay na daing kagadanan amen,akoy nananampalataya sa espiritu santo at sa kabanalan sa kapatawaran ng mga kasalanan sa pagkabuhay na maguli at sa buhay na walang hanggan amen,"Sumasampalataya naman ako sa Diyos Espiritu Santo, na may Santa Iglesya Katolika; may kamsamahan ng mga Santo, may ikawawala ng mga kasalanan; at mabubuhay na mag uli ang nangamatay na tao, at may buhay na walang hanggan.",sumasampalataya naman ako sa diyos espiritu santo na may santa iglesya katolika may kamsamahan ng mga santo may ikawawala ng mga kasalanan at mabubuhay na mag uli ang nangamatay na tao at may buhay na walang hanggan,10.125485513779251
Inaro ta ka,inaro ta ka,namomotan taka,sapagkat iniibig kita,Mahal kita,mahal kita,0.0
Labay ta ka,labay ta ka,namomotan taka,sapagkat iniibig kita,Gusto kita,gusto kita,0.0
Agmo la ibabaga,agmo la ibabaga,dai ka magtaram,huwag kang magsalita ng anuman sa akin,Wag mo nang sabihin,wag mo nang sabihin,0.0
Angga ak ni angan,angga ak ni angan,nagkarakan ako sagkod na dai ako nagkakan,akoy kumain hanggang sa akoy maubos ng pagkain,Hindi pa ako kumain,hindi pa ako kumain,5.522397783539471
Umpawil ak,umpawil ak,mabalik ako,akoy babalik sa iyo,Babalik ako,babalik ako,15.97357760615681
Unla ak la,unla ak la,maduman na ako,narito akoy pupunta,Aalis na ako,aalis na ako,0.0
Mansasalita kay ingles,mansasalita kay ingles,nagtataram ka nin lengwahe,ikaw ay nagsasalita ng mga wika,Nagsasalita ka ba ng ingles,nagsasalita ka ba ng ingles,9.652434877402245
Angga ak mansasalitay ingles,angga ak mansasalitay ingles,danay akong nagtataram sa lengwahe,akoy nagsasalita ng maraming wika,Hindi ako nagsasalita ng ingles,hindi ako nagsasalita ng ingles,21.3643503198117
Labay ko,labay ko,boot ko iyan,ito ang aking nais,Gusto ko,gusto ko,0.0
Masantos ya ngarem,masantos ya ngarem,banal na banggi,banal na gabi,Magandang hapon,magandang hapon,0.0
Masantos ya labi,masantos ya labi,banal na banggi,banal na gabi,Magandang gabi,magandang gabi,0.0
Masantos ya kabwasan,masantos ya kabwasan,banal na aga,banal na umaga,Magandang umaga,magandang umaga,0.0
Angan ka la,angan ka la,magkakan ka na,kumain ka ng iyong tinapay at kumain ka ng iyong tinapay,Kumain ka na ba,kumain ka na ba,7.495553473355842
Alagar mo ak,alagar mo ak,maghalat ka sako,maghintay ka sa akin,Hintayin mo ako,hintayin mo ako,0.0
Masanting tay kawis mo,masanting tay kawis mo,banal an saimong kamot,ang iyong kamay ay banal,Ang ganda ng damit mo,ang ganda ng damit mo,10.682175159905853
Iner so baley,iner so baley,haen an banwa,nasaan ang bayan,Saan ang bayan,saan ang bayan,0.0
Iner ka manaayam,iner ka manaayam,haen ka nageerok,saan ka naninirahan,Saan ka nakatira,saan ka nakatira,0.0
Pigay taon mo la,pigay taon mo la,pira na an edad mo,ilang taon na ang mga araw ng iyong buhay,Ilang taon ka na,ilang taon ka na,10.552670315936318
Antoy ngaran mo,antoy ngaran mo,ano an ngaran mo,ano ang pangalan mo,Anong pangalan mo,anong pangalan mo,31.947155212313625
